Абсолютный путь к файлу,Относительный путь к файлу,номер звезды
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4594.txt,second_dataset/1_0452.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9632.txt,second_dataset/3_0168.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/779.txt,second_dataset/1_1790.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5705.txt,second_dataset/5_0161.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1282.txt,second_dataset/3_0389.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1681.txt,second_dataset/2_0530.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3371.txt,second_dataset/3_0180.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9314.txt,second_dataset/1_0820.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9384.txt,second_dataset/3_0344.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5856.txt,second_dataset/1_0338.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5467.txt,second_dataset/1_1148.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8492.txt,second_dataset/1_1249.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9463.txt,second_dataset/1_1708.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6907.txt,second_dataset/5_0214.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6731.txt,second_dataset/1_0176.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5697.txt,second_dataset/2_0498.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7081.txt,second_dataset/3_0209.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9746.txt,second_dataset/4_0018.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2692.txt,second_dataset/1_1053.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4839.txt,second_dataset/3_0390.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3330.txt,second_dataset/1_1482.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5501.txt,second_dataset/5_0101.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7395.txt,second_dataset/5_0067.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6393.txt,second_dataset/5_0385.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4589.txt,second_dataset/1_1606.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2789.txt,second_dataset/2_0208.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4096.txt,second_dataset/5_0328.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1149.txt,second_dataset/5_0165.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7554.txt,second_dataset/5_0606.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/576.txt,second_dataset/4_0333.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2182.txt,second_dataset/2_0183.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6307.txt,second_dataset/3_0024.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7903.txt,second_dataset/4_0246.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1102.txt,second_dataset/1_0477.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/813.txt,second_dataset/1_0895.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3208.txt,second_dataset/1_1356.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6118.txt,second_dataset/2_0437.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6314.txt,second_dataset/1_0539.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2554.txt,second_dataset/1_1384.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/969.txt,second_dataset/3_0013.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1773.txt,second_dataset/1_0977.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9102.txt,second_dataset/1_0446.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8162.txt,second_dataset/5_0467.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8648.txt,second_dataset/3_0304.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/522.txt,second_dataset/1_1366.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5455.txt,second_dataset/4_0191.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9607.txt,second_dataset/5_0313.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9831.txt,second_dataset/4_0205.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1064.txt,second_dataset/1_0771.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/199.txt,second_dataset/1_0088.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/442.txt,second_dataset/3_0235.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/86.txt,second_dataset/1_0261.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/976.txt,second_dataset/1_1382.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5463.txt,second_dataset/2_0215.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7433.txt,second_dataset/2_0109.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7724.txt,second_dataset/1_1238.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9170.txt,second_dataset/1_1435.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6453.txt,second_dataset/5_0351.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1159.txt,second_dataset/1_1409.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1879.txt,second_dataset/5_0021.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4425.txt,second_dataset/1_0569.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/43.txt,second_dataset/1_1816.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6330.txt,second_dataset/1_1757.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5349.txt,second_dataset/5_0114.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/674.txt,second_dataset/1_1670.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8900.txt,second_dataset/4_0152.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4109.txt,second_dataset/4_0050.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6979.txt,second_dataset/2_0299.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7861.txt,second_dataset/4_0034.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4075.txt,second_dataset/1_1103.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5636.txt,second_dataset/3_0199.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2104.txt,second_dataset/1_0737.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7943.txt,second_dataset/1_0139.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3271.txt,second_dataset/5_0099.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9885.txt,second_dataset/2_0099.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2976.txt,second_dataset/1_1669.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7629.txt,second_dataset/1_0706.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5662.txt,second_dataset/1_0199.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/281.txt,second_dataset/5_0571.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8125.txt,second_dataset/1_0193.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6061.txt,second_dataset/1_1681.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1582.txt,second_dataset/1_0649.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1734.txt,second_dataset/1_1180.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7864.txt,second_dataset/2_0365.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5370.txt,second_dataset/1_0858.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4867.txt,second_dataset/5_0125.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6003.txt,second_dataset/5_0559.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5521.txt,second_dataset/1_1612.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6423.txt,second_dataset/5_0279.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4248.txt,second_dataset/1_0462.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/433.txt,second_dataset/2_0201.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9496.txt,second_dataset/5_0020.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6768.txt,second_dataset/1_1400.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5677.txt,second_dataset/1_0985.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/77.txt,second_dataset/1_0643.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7163.txt,second_dataset/4_0038.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7322.txt,second_dataset/5_0001.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/958.txt,second_dataset/1_0646.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9179.txt,second_dataset/2_0462.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5130.txt,second_dataset/1_0963.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6901.txt,second_dataset/2_0079.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3852.txt,second_dataset/2_0032.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8488.txt,second_dataset/1_1079.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5825.txt,second_dataset/1_1132.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8759.txt,second_dataset/4_0028.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1936.txt,second_dataset/1_0430.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9429.txt,second_dataset/1_0360.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9494.txt,second_dataset/2_0430.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8572.txt,second_dataset/5_0339.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5809.txt,second_dataset/3_0049.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5953.txt,second_dataset/1_0701.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4886.txt,second_dataset/1_1269.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4415.txt,second_dataset/1_0901.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4606.txt,second_dataset/1_0870.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3669.txt,second_dataset/1_0373.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1560.txt,second_dataset/1_0981.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6214.txt,second_dataset/4_0052.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4476.txt,second_dataset/1_0898.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1832.txt,second_dataset/5_0243.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9208.txt,second_dataset/2_0129.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2280.txt,second_dataset/1_0282.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1633.txt,second_dataset/5_0454.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5885.txt,second_dataset/3_0023.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/18.txt,second_dataset/4_0127.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7215.txt,second_dataset/2_0419.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8755.txt,second_dataset/4_0151.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8710.txt,second_dataset/1_1277.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6257.txt,second_dataset/3_0088.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/986.txt,second_dataset/2_0455.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1967.txt,second_dataset/3_0317.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/733.txt,second_dataset/5_0198.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6985.txt,second_dataset/5_0321.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6929.txt,second_dataset/4_0124.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4932.txt,second_dataset/1_1065.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5787.txt,second_dataset/1_0037.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5435.txt,second_dataset/3_0086.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6232.txt,second_dataset/5_0144.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/553.txt,second_dataset/2_0137.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/85.txt,second_dataset/1_0502.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7143.txt,second_dataset/1_0994.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9165.txt,second_dataset/1_0383.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6828.txt,second_dataset/1_1584.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4878.txt,second_dataset/1_0262.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9297.txt,second_dataset/1_0456.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6567.txt,second_dataset/1_0978.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4351.txt,second_dataset/1_1466.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5654.txt,second_dataset/4_0311.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/614.txt,second_dataset/1_1494.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5219.txt,second_dataset/1_1190.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4679.txt,second_dataset/5_0522.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5464.txt,second_dataset/2_0066.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7693.txt,second_dataset/4_0197.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3209.txt,second_dataset/4_0065.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9016.txt,second_dataset/5_0212.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5954.txt,second_dataset/4_0051.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/977.txt,second_dataset/5_0331.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7024.txt,second_dataset/1_0296.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8390.txt,second_dataset/3_0370.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1941.txt,second_dataset/1_1411.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5396.txt,second_dataset/1_0686.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4868.txt,second_dataset/5_0524.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/959.txt,second_dataset/5_0633.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2572.txt,second_dataset/2_0029.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9908.txt,second_dataset/1_0961.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7868.txt,second_dataset/1_1713.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1419.txt,second_dataset/1_1134.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6992.txt,second_dataset/1_0429.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4760.txt,second_dataset/1_0293.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8694.txt,second_dataset/3_0290.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6716.txt,second_dataset/3_0252.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5694.txt,second_dataset/1_1334.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7059.txt,second_dataset/5_0222.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9218.txt,second_dataset/3_0169.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8414.txt,second_dataset/4_0098.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/410.txt,second_dataset/1_0029.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2819.txt,second_dataset/1_0424.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9280.txt,second_dataset/1_1281.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1170.txt,second_dataset/2_0106.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2717.txt,second_dataset/5_0368.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/599.txt,second_dataset/2_0472.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3593.txt,second_dataset/1_0825.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5796.txt,second_dataset/3_0270.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7234.txt,second_dataset/1_0269.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7963.txt,second_dataset/2_0457.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6997.txt,second_dataset/3_0140.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2117.txt,second_dataset/1_0393.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8653.txt,second_dataset/2_0323.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6260.txt,second_dataset/1_1691.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3003.txt,second_dataset/3_0208.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9648.txt,second_dataset/4_0077.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3292.txt,second_dataset/4_0296.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3626.txt,second_dataset/5_0564.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9722.txt,second_dataset/5_0598.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9873.txt,second_dataset/1_0107.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1895.txt,second_dataset/1_1137.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7761.txt,second_dataset/1_0644.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6737.txt,second_dataset/4_0222.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4879.txt,second_dataset/1_1636.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6288.txt,second_dataset/1_0023.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1093.txt,second_dataset/2_0415.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/989.txt,second_dataset/1_0012.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/757.txt,second_dataset/1_0658.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2437.txt,second_dataset/5_0356.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/8743.txt,second_dataset/1_0303.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6811.txt,second_dataset/4_0254.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9373.txt,second_dataset/1_1185.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1125.txt,second_dataset/1_0445.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1581.txt,second_dataset/4_0165.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3915.txt,second_dataset/1_0778.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2735.txt,second_dataset/2_0052.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5044.txt,second_dataset/1_1258.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/323.txt,second_dataset/5_0394.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/5732.txt,second_dataset/1_1530.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3576.txt,second_dataset/1_1057.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/1998.txt,second_dataset/2_0304.txt,2
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/4010.txt,second_dataset/5_0301.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/195.txt,second_dataset/3_0320.txt,3
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3325.txt,second_dataset/5_0031.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2017.txt,second_dataset/4_0248.txt,4
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7277.txt,second_dataset/5_0421.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/3642.txt,second_dataset/1_0935.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/2749.txt,second_dataset/1_1611.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7517.txt,second_dataset/1_0700.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/7056.txt,second_dataset/5_0267.txt,5
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/9205.txt,second_dataset/1_0819.txt,1
/home/kingtuler/Рабочий стол/Work_with_otzovik/third_dataset/6072.txt,second_dataset/1_1549.txt,1
